T29,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
116,Cambodia,2010,Percentage of individuals using the internet,1.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
116,Cambodia,2015,Percentage of individuals using the internet,6.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
116,Cambodia,2017,Percentage of individuals using the internet,32.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
116,Cambodia,2018,Percentage of individuals using the internet,40.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
120,Cameroon,2000,Percentage of individuals using the internet,0.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
120,Cameroon,2005,Percentage of individuals using the internet,1.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
120,Cameroon,2010,Percentage of individuals using the internet,4.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
120,Cameroon,2015,Percentage of individuals using the internet,20.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
120,Cameroon,2017,Percentage of individuals using the internet,23.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
124,Canada,2000,Percentage of individuals using the internet,51.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
124,Canada,2005,Percentage of individuals using the internet,71.7,Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
124,Canada,2010,Percentage of individuals using the internet,80.3,Break in the time series.;Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
124,Canada,2015,Percentage of individuals using the internet,90.0,Estimate.;Population aged 18 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
124,Canada,2017,Percentage of individuals using the internet,92.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
136,Cayman Islands,2005,Percentage of individuals using the internet,38.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
136,Cayman Islands,2010,Percentage of individuals using the internet,66.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
136,Cayman Islands,2015,Percentage of individuals using the internet,77.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
136,Cayman Islands,2017,Percentage of individuals using the internet,81.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
140,Central African Republic,2000,Percentage of individuals using the internet,0.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
140,Central African Republic,2005,Percentage of individuals using the internet,0.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
140,Central African Republic,2010,Percentage of individuals using the internet,2.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
140,Central African Republic,2015,Percentage of individuals using the internet,3.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
140,Central African Republic,2017,Percentage of individuals using the internet,4.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
148,Chad,2000,Percentage of individuals using the internet,0.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
148,Chad,2005,Percentage of individuals using the internet,0.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
148,Chad,2010,Percentage of individuals using the internet,1.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
148,Chad,2015,Percentage of individuals using the internet,3.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
148,Chad,2017,Percentage of individuals using the internet,6.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
152,Chile,2000,Percentage of individuals using the internet,16.6,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
152,Chile,2005,Percentage of individuals using the internet,31.2,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
152,Chile,2010,Percentage of individuals using the internet,45.0,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
152,Chile,2015,Percentage of individuals using the internet,76.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
152,Chile,2017,Percentage of individuals using the internet,82.3,Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
156,China,2000,Percentage of individuals using the internet,1.8,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
156,China,2005,Percentage of individuals using the internet,8.5,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
156,China,2010,Percentage of individuals using the internet,34.3,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
156,China,2015,Percentage of individuals using the internet,50.3,"Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Population aged 6 years and over.;Users in the last 6 months.;Data refer to permanent residents.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
156,China,2017,Percentage of individuals using the internet,54.3,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
344,"China, Hong Kong SAR",2000,Percentage of individuals using the internet,27.8,Users in the last 12 months.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
344,"China, Hong Kong SAR",2005,Percentage of individuals using the internet,56.9,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
344,"China, Hong Kong SAR",2010,Percentage of individuals using the internet,72.0,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
344,"China, Hong Kong SAR",2015,Percentage of individuals using the internet,84.9,Users in the last 12 months.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
344,"China, Hong Kong SAR",2017,Percentage of individuals using the internet,89.4,Users in the last 12 months.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
344,"China, Hong Kong SAR",2018,Percentage of individuals using the internet,90.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
344,"China, Hong Kong SAR",2019,Percentage of individuals using the internet,91.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
446,"China, Macao SAR",2000,Percentage of individuals using the internet,13.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
446,"China, Macao SAR",2005,Percentage of individuals using the internet,34.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
446,"China, Macao SAR",2010,Percentage of individuals using the internet,55.2,Population aged 3 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
446,"China, Macao SAR",2015,Percentage of individuals using the internet,77.6,Users in the last 3 months.;Population aged 3 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
446,"China, Macao SAR",2017,Percentage of individuals using the internet,83.2,Users in the last 3 months.;Population aged 3 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
446,"China, Macao SAR",2018,Percentage of individuals using the internet,83.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
446,"China, Macao SAR",2019,Percentage of individuals using the internet,86.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
170,Colombia,2000,Percentage of individuals using the internet,2.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
170,Colombia,2005,Percentage of individuals using the internet,11.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
170,Colombia,2010,Percentage of individuals using the internet,36.5,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
170,Colombia,2015,Percentage of individuals using the internet,55.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
170,Colombia,2017,Percentage of individuals using the internet,62.3,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
170,Colombia,2018,Percentage of individuals using the internet,64.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
170,Colombia,2019,Percentage of individuals using the internet,65.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
174,Comoros,2000,Percentage of individuals using the internet,0.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
174,Comoros,2005,Percentage of individuals using the internet,2.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
174,Comoros,2010,Percentage of individuals using the internet,5.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
174,Comoros,2015,Percentage of individuals using the internet,7.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
174,Comoros,2017,Percentage of individuals using the internet,8.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
178,Congo,2000,Percentage of individuals using the internet,0.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
178,Congo,2005,Percentage of individuals using the internet,1.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
178,Congo,2010,Percentage of individuals using the internet,5.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
178,Congo,2015,Percentage of individuals using the internet,7.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
178,Congo,2017,Percentage of individuals using the internet,8.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
184,Cook Islands,2000,Percentage of individuals using the internet,15.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
184,Cook Islands,2005,Percentage of individuals using the internet,26.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
184,Cook Islands,2010,Percentage of individuals using the internet,35.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
184,Cook Islands,2015,Percentage of individuals using the internet,51.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
188,Costa Rica,2000,Percentage of individuals using the internet,5.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
188,Costa Rica,2005,Percentage of individuals using the internet,22.1,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
188,Costa Rica,2010,Percentage of individuals using the internet,36.5,Users in the last 3 months.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
188,Costa Rica,2015,Percentage of individuals using the internet,59.8,Users in the last 3 months.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
188,Costa Rica,2017,Percentage of individuals using the internet,71.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
188,Costa Rica,2018,Percentage of individuals using the internet,73.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
188,Costa Rica,2019,Percentage of individuals using the internet,81.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
384,Côte d’Ivoire,2000,Percentage of individuals using the internet,0.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
384,Côte d’Ivoire,2005,Percentage of individuals using the internet,1.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
384,Côte d’Ivoire,2010,Percentage of individuals using the internet,2.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
384,Côte d’Ivoire,2015,Percentage of individuals using the internet,38.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
384,Côte d’Ivoire,2017,Percentage of individuals using the internet,43.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
384,Côte d’Ivoire,2018,Percentage of individuals using the internet,37.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
384,Côte d’Ivoire,2019,Percentage of individuals using the internet,36.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
191,Croatia,2000,Percentage of individuals using the internet,6.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
191,Croatia,2005,Percentage of individuals using the internet,33.1,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
191,Croatia,2010,Percentage of individuals using the internet,56.6,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
191,Croatia,2015,Percentage of individuals using the internet,69.8,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
191,Croatia,2017,Percentage of individuals using the internet,67.1,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
191,Croatia,2018,Percentage of individuals using the internet,75.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
191,Croatia,2019,Percentage of individuals using the internet,79.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
192,Cuba,2000,Percentage of individuals using the internet,0.5,Refers only to users with access to the international network.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
192,Cuba,2005,Percentage of individuals using the internet,9.7,Including users of the international network and also those having access only to the Cuban network.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
192,Cuba,2010,Percentage of individuals using the internet,15.9,Including users of the international network and also those having access only to the Cuban network.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
192,Cuba,2015,Percentage of individuals using the internet,37.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
192,Cuba,2017,Percentage of individuals using the internet,57.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
192,Cuba,2018,Percentage of individuals using the internet,62.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
192,Cuba,2019,Percentage of individuals using the internet,68.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
531,Curaçao,2017,Percentage of individuals using the internet,68.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
196,Cyprus,2000,Percentage of individuals using the internet,15.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
196,Cyprus,2005,Percentage of individuals using the internet,32.8,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
196,Cyprus,2010,Percentage of individuals using the internet,53.0,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
196,Cyprus,2015,Percentage of individuals using the internet,71.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
196,Cyprus,2017,Percentage of individuals using the internet,80.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
196,Cyprus,2018,Percentage of individuals using the internet,84.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
196,Cyprus,2019,Percentage of individuals using the internet,86.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
203,Czechia,2000,Percentage of individuals using the internet,9.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
203,Czechia,2005,Percentage of individuals using the internet,35.3,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
203,Czechia,2010,Percentage of individuals using the internet,68.8,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
203,Czechia,2015,Percentage of individuals using the internet,75.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
203,Czechia,2017,Percentage of individuals using the internet,78.7,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
203,Czechia,2018,Percentage of individuals using the internet,80.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
203,Czechia,2019,Percentage of individuals using the internet,80.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
408,Dem. People's Rep. Korea,2000,Percentage of individuals using the internet,0.0,Commercially not available. Local Intranet available in country.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
408,Dem. People's Rep. Korea,2005,Percentage of individuals using the internet,0.0,Commercially not available. Local Intranet available in country.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
408,Dem. People's Rep. Korea,2010,Percentage of individuals using the internet,0.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
180,Dem. Rep. of the Congo,2000,Percentage of individuals using the internet,0.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
180,Dem. Rep. of the Congo,2005,Percentage of individuals using the internet,0.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
180,Dem. Rep. of the Congo,2010,Percentage of individuals using the internet,0.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
180,Dem. Rep. of the Congo,2015,Percentage of individuals using the internet,3.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
180,Dem. Rep. of the Congo,2017,Percentage of individuals using the internet,8.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
208,Denmark,2000,Percentage of individuals using the internet,39.2,E-mail users.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
208,Denmark,2005,Percentage of individuals using the internet,82.7,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
208,Denmark,2010,Percentage of individuals using the internet,88.7,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
208,Denmark,2015,Percentage of individuals using the internet,96.3,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
208,Denmark,2017,Percentage of individuals using the internet,97.1,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
208,Denmark,2018,Percentage of individuals using the internet,97.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
208,Denmark,2019,Percentage of individuals using the internet,98.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
262,Djibouti,2000,Percentage of individuals using the internet,0.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
262,Djibouti,2005,Percentage of individuals using the internet,1.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
262,Djibouti,2010,Percentage of individuals using the internet,6.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
262,Djibouti,2015,Percentage of individuals using the internet,11.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
262,Djibouti,2017,Percentage of individuals using the internet,55.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
212,Dominica,2000,Percentage of individuals using the internet,8.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
212,Dominica,2005,Percentage of individuals using the internet,38.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
212,Dominica,2010,Percentage of individuals using the internet,47.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
212,Dominica,2015,Percentage of individuals using the internet,65.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
212,Dominica,2017,Percentage of individuals using the internet,69.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
214,Dominican Republic,2000,Percentage of individuals using the internet,3.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
214,Dominican Republic,2005,Percentage of individuals using the internet,11.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
214,Dominican Republic,2010,Percentage of individuals using the internet,31.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
214,Dominican Republic,2015,Percentage of individuals using the internet,54.2,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
214,Dominican Republic,2017,Percentage of individuals using the internet,67.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
214,Dominican Republic,2018,Percentage of individuals using the internet,74.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
218,Ecuador,2000,Percentage of individuals using the internet,1.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
218,Ecuador,2005,Percentage of individuals using the internet,6.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
218,Ecuador,2010,Percentage of individuals using the internet,29.0,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
218,Ecuador,2015,Percentage of individuals using the internet,48.9,"Persons aged 5 and over, direct informant aged 15 and over.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
818,Egypt,2000,Percentage of individuals using the internet,0.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
818,Egypt,2005,Percentage of individuals using the internet,12.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
818,Egypt,2010,Percentage of individuals using the internet,21.6,Population aged 6 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
818,Egypt,2015,Percentage of individuals using the internet,37.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
818,Egypt,2017,Percentage of individuals using the internet,45.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
818,Egypt,2018,Percentage of individuals using the internet,46.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
818,Egypt,2019,Percentage of individuals using the internet,57.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
222,El Salvador,2000,Percentage of individuals using the internet,1.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
222,El Salvador,2005,Percentage of individuals using the internet,4.2,Estimate.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
222,El Salvador,2010,Percentage of individuals using the internet,15.9,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
222,El Salvador,2015,Percentage of individuals using the internet,26.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
222,El Salvador,2017,Percentage of individuals using the internet,33.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
222,El Salvador,2019,Percentage of individuals using the internet,50.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
226,Equatorial Guinea,2000,Percentage of individuals using the internet,0.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
226,Equatorial Guinea,2005,Percentage of individuals using the internet,1.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
226,Equatorial Guinea,2010,Percentage of individuals using the internet,6.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
226,Equatorial Guinea,2015,Percentage of individuals using the internet,21.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
226,Equatorial Guinea,2017,Percentage of individuals using the internet,26.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
232,Eritrea,2000,Percentage of individuals using the internet,0.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
232,Eritrea,2010,Percentage of individuals using the internet,0.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
232,Eritrea,2015,Percentage of individuals using the internet,1.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
232,Eritrea,2017,Percentage of individuals using the internet,1.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
233,Estonia,2000,Percentage of individuals using the internet,28.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
233,Estonia,2005,Percentage of individuals using the internet,61.5,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
233,Estonia,2010,Percentage of individuals using the internet,74.1,Population aged 16 to 74 years.;Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
233,Estonia,2015,Percentage of individuals using the internet,88.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
233,Estonia,2017,Percentage of individuals using the internet,88.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
233,Estonia,2018,Percentage of individuals using the internet,89.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
233,Estonia,2019,Percentage of individuals using the internet,89.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
748,Eswatini,2000,Percentage of individuals using the internet,0.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
748,Eswatini,2005,Percentage of individuals using the internet,3.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
748,Eswatini,2010,Percentage of individuals using the internet,11.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
748,Eswatini,2015,Percentage of individuals using the internet,25.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
748,Eswatini,2017,Percentage of individuals using the internet,30.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
231,Ethiopia,2000,Percentage of individuals using the internet,0.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
231,Ethiopia,2005,Percentage of individuals using the internet,0.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
231,Ethiopia,2010,Percentage of individuals using the internet,0.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
231,Ethiopia,2015,Percentage of individuals using the internet,13.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
231,Ethiopia,2017,Percentage of individuals using the internet,18.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
238,Falkland Islands (Malvinas),2000,Percentage of individuals using the internet,58.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
