T29,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
11,Western Africa,2017,Percentage of individuals using the internet,14.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
11,Western Africa,2018,Percentage of individuals using the internet,14.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
11,Western Africa,2019,Percentage of individuals using the internet,14.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
21,Northern America,2000,Percentage of individuals using the internet,43.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
21,Northern America,2005,Percentage of individuals using the internet,68.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
21,Northern America,2010,Percentage of individuals using the internet,72.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
21,Northern America,2015,Percentage of individuals using the internet,76.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
21,Northern America,2017,Percentage of individuals using the internet,87.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
21,Northern America,2018,Percentage of individuals using the internet,88.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
21,Northern America,2019,Percentage of individuals using the internet,88.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
419,Latin America & the Caribbean,2000,Percentage of individuals using the internet,3.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
419,Latin America & the Caribbean,2005,Percentage of individuals using the internet,16.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
419,Latin America & the Caribbean,2010,Percentage of individuals using the internet,34.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
419,Latin America & the Caribbean,2015,Percentage of individuals using the internet,54.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
419,Latin America & the Caribbean,2017,Percentage of individuals using the internet,62.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
419,Latin America & the Caribbean,2018,Percentage of individuals using the internet,64.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
419,Latin America & the Caribbean,2019,Percentage of individuals using the internet,67.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
29,Caribbean,2000,Percentage of individuals using the internet,2.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
29,Caribbean,2005,Percentage of individuals using the internet,12.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
29,Caribbean,2010,Percentage of individuals using the internet,23.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
29,Caribbean,2015,Percentage of individuals using the internet,39.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
29,Caribbean,2017,Percentage of individuals using the internet,50.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
29,Caribbean,2018,Percentage of individuals using the internet,58.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
29,Caribbean,2019,Percentage of individuals using the internet,60.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
420,Latin America,2000,Percentage of individuals using the internet,4.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
420,Latin America,2005,Percentage of individuals using the internet,16.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
420,Latin America,2010,Percentage of individuals using the internet,35.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
420,Latin America,2015,Percentage of individuals using the internet,55.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
420,Latin America,2017,Percentage of individuals using the internet,63.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
420,Latin America,2018,Percentage of individuals using the internet,65.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
420,Latin America,2019,Percentage of individuals using the internet,67.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
142,Asia,2000,Percentage of individuals using the internet,3.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
142,Asia,2005,Percentage of individuals using the internet,9.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
142,Asia,2010,Percentage of individuals using the internet,22.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
142,Asia,2015,Percentage of individuals using the internet,35.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
142,Asia,2017,Percentage of individuals using the internet,44.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
142,Asia,2018,Percentage of individuals using the internet,42.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
142,Asia,2019,Percentage of individuals using the internet,42.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
143,Central Asia,2000,Percentage of individuals using the internet,0.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
143,Central Asia,2005,Percentage of individuals using the internet,3.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
143,Central Asia,2010,Percentage of individuals using the internet,18.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
143,Central Asia,2015,Percentage of individuals using the internet,43.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
143,Central Asia,2017,Percentage of individuals using the internet,49.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
143,Central Asia,2018,Percentage of individuals using the internet,52.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
143,Central Asia,2019,Percentage of individuals using the internet,53.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
30,Eastern Asia,2000,Percentage of individuals using the internet,6.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
30,Eastern Asia,2005,Percentage of individuals using the internet,16.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
30,Eastern Asia,2010,Percentage of individuals using the internet,39.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
30,Eastern Asia,2015,Percentage of individuals using the internet,54.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
30,Eastern Asia,2017,Percentage of individuals using the internet,59.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
