departamento;MUNICIPIO;Npuesto;gps;votos;direccion;;
CESAR;VALLEDUPAR;ESC. DE BELLAS ARTES;10.47440825168491, -73.25117830216345;3;CALLE 15 # 12A - 54;;
CESAR;VALLEDUPAR;ESC. DE BELLAS ARTES;10.47440825168491, -73.25117830216345;13;CALLE 15 # 12A - 54;;
CESAR;VALLEDUPAR;ESC. DE BELLAS ARTES;10.47440825168491, -73.25117830216345;11;CALLE 15 # 12A - 54;;
CESAR;VALLEDUPAR;ESC. DE BELLAS ARTES;10.47440825168491, -73.25117830216345;11;CALLE 15 # 12A - 54;;
CESAR;VALLEDUPAR;ESC. DE BELLAS ARTES;10.47440825168491, -73.25117830216345;12;CALLE 15 # 12A - 54;;
CESAR;VALLEDUPAR;ESC. DE BELLAS ARTES;10.47440825168491, -73.25117830216345;9;CALLE 15 # 12A - 54;;
CESAR;VALLEDUPAR;ESC. DE BELLAS ARTES;10.47440825168491, -73.25117830216345;11;CALLE 15 # 12A - 54;;
CESAR;VALLEDUPAR;ESC. DE BELLAS ARTES;10.47440825168491, -73.25117830216345;7;CALLE 15 # 12A - 54;;
CESAR;VALLEDUPAR;ESC. DE BELLAS ARTES;10.47440825168491, -73.25117830216345;13;CALLE 15 # 12A - 54;;
CESAR;VALLEDUPAR;ESC. DE BELLAS ARTES;10.47440825168491, -73.25117830216345;12;CALLE 15 # 12A - 54;;
CESAR;VALLEDUPAR;ESC. DE BELLAS ARTES;10.47440825168491, -73.25117830216345;14;CALLE 15 # 12A - 54;;
CESAR;VALLEDUPAR;ESC. DE BELLAS ARTES;10.47440825168491, -73.25117830216345;10;CALLE 15 # 12A - 54;;
CESAR;VALLEDUPAR;ESC. DE BELLAS ARTES;10.47440825168491, -73.25117830216345;8;CALLE 15 # 12A - 54;;
CESAR;VALLEDUPAR;ESC. DE BELLAS ARTES;10.47440825168491, -73.25117830216345;12;CALLE 15 # 12A - 54;;
CESAR;VALLEDUPAR;ESC. DE BELLAS ARTES;10.47440825168491, -73.25117830216345;15;CALLE 15 # 12A - 54;;
CESAR;VALLEDUPAR;ESC. DE BELLAS ARTES;10.47440825168491, -73.25117830216345;11;CALLE 15 # 12A - 54;;
CESAR;VALLEDUPAR;"UNIVERSIDAD DE SANTANDER ""UDES";10.478716819090724, -73.24561867307342;9;CARRERA 6 # 14 -07;;
CESAR;VALLEDUPAR;"UNIVERSIDAD DE SANTANDER ""UDES";10.478716819090724, -73.24561867307342;14;CARRERA 6 # 14 -07;;
CESAR;VALLEDUPAR;"UNIVERSIDAD DE SANTANDER ""UDES";10.478716819090724, -73.24561867307342;6;CARRERA 6 # 14 -07;;
CESAR;VALLEDUPAR;"UNIVERSIDAD DE SANTANDER ""UDES";10.478716819090724, -73.24561867307342;10;CARRERA 6 # 14 -07;;
CESAR;VALLEDUPAR;"UNIVERSIDAD DE SANTANDER ""UDES";10.478716819090724, -73.24561867307342;7;CARRERA 6 # 14 -07;;
CESAR;VALLEDUPAR;"UNIVERSIDAD DE SANTANDER ""UDES";10.478716819090724, -73.24561867307342;18;CARRERA 6 # 14 -07;;
CESAR;VALLEDUPAR;"UNIVERSIDAD DE SANTANDER ""UDES";10.478716819090724, -73.24561867307342;17;CARRERA 6 # 14 -07;;
CESAR;VALLEDUPAR;"UNIVERSIDAD DE SANTANDER ""UDES";10.478716819090724, -73.24561867307342;9;CARRERA 6 # 14 -07;;
CESAR;VALLEDUPAR;"UNIVERSIDAD DE SANTANDER ""UDES";10.478716819090724, -73.24561867307342;10;CARRERA 6 # 14 -07;;
CESAR;VALLEDUPAR;"UNIVERSIDAD DE SANTANDER ""UDES";10.478716819090724, -73.24561867307342;7;CARRERA 6 # 14 -07;;
CESAR;VALLEDUPAR;"UNIVERSIDAD DE SANTANDER ""UDES";10.478716819090724, -73.24561867307342;5;CARRERA 6 # 14 -07;;
CESAR;VALLEDUPAR;"UNIVERSIDAD DE SANTANDER ""UDES";10.478716819090724, -73.24561867307342;6;CARRERA 6 # 14 -07;;
CESAR;VALLEDUPAR;"UNIVERSIDAD DE SANTANDER ""UDES";10.478716819090724, -73.24561867307342;2;CARRERA 6 # 14 -07;;
CESAR;VALLEDUPAR;"UNIVERSIDAD DE SANTANDER ""UDES";10.478716819090724, -73.24561867307342;7;CARRERA 6 # 14 -07;;
CESAR;VALLEDUPAR;"UNIVERSIDAD DE SANTANDER ""UDES";10.478716819090724, -73.24561867307342;13;CARRERA 6 # 14 -07;;
CESAR;VALLEDUPAR;"UNIVERSIDAD DE SANTANDER ""UDES";10.478716819090724, -73.24561867307342;11;CARRERA 6 # 14 -07;;
CESAR;VALLEDUPAR;"UNIVERSIDAD DE SANTANDER ""UDES";10.478716819090724, -73.24561867307342;15;CARRERA 6 # 14 -07;;
CESAR;VALLEDUPAR;"UNIVERSIDAD DE SANTANDER ""UDES";10.478716819090724, -73.24561867307342;6;CARRERA 6 # 14 -07;;
CESAR;VALLEDUPAR;COL. PRUDENCIA DAZA;10.468735694661138, -73.24732336309124;7;CALLE 19 B # 12 - 80;;
CESAR;VALLEDUPAR;COL. PRUDENCIA DAZA;10.468735694661138, -73.24732336309124;5;CALLE 19 B # 12 - 80;;
CESAR;VALLEDUPAR;COL. PRUDENCIA DAZA;10.468735694661138, -73.24732336309124;6;CALLE 19 B # 12 - 80;;
CESAR;VALLEDUPAR;COL. PRUDENCIA DAZA;10.468735694661138, -73.24732336309124;14;CALLE 19 B # 12 - 80;;
CESAR;VALLEDUPAR;COL. PRUDENCIA DAZA;10.468735694661138, -73.24732336309124;11;CALLE 19 B # 12 - 80;;
CESAR;VALLEDUPAR;COL. PRUDENCIA DAZA;10.468735694661138, -73.24732336309124;13;CALLE 19 B # 12 - 80;;
