T30,Tourist/visitor arrivals and tourism expenditure,,,,,,,
Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
24,Angola,2005,Tourism expenditure (millions of US dollars),,,103,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
24,Angola,2010,Tourism expenditure (millions of US dollars),,,726,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
24,Angola,2017,Tourism expenditure (millions of US dollars),,,884,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
24,Angola,2018,Tourism expenditure (millions of US dollars),,,557,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
24,Angola,2019,Tourism expenditure (millions of US dollars),,,395,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
660,Anguilla,1995,Tourist/visitor arrivals (thousands),TF,,39,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
660,Anguilla,2005,Tourist/visitor arrivals (thousands),TF,,62,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
660,Anguilla,2010,Tourist/visitor arrivals (thousands),TF,,62,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
660,Anguilla,2017,Tourist/visitor arrivals (thousands),TF,,68,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
660,Anguilla,2018,Tourist/visitor arrivals (thousands),TF,,55,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
660,Anguilla,2019,Tourist/visitor arrivals (thousands),TF,,95,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
660,Anguilla,1995,Tourism expenditure (millions of US dollars),,,50,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
660,Anguilla,2005,Tourism expenditure (millions of US dollars),,,86,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
660,Anguilla,2010,Tourism expenditure (millions of US dollars),,,99,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
660,Anguilla,2017,Tourism expenditure (millions of US dollars),,,141,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
660,Anguilla,2018,Tourism expenditure (millions of US dollars),,,102,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
28,Antigua and Barbuda,1995,Tourist/visitor arrivals (thousands),TF,,220,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
28,Antigua and Barbuda,2005,Tourist/visitor arrivals (thousands),TF,,245,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
28,Antigua and Barbuda,2010,Tourist/visitor arrivals (thousands),TF,,230,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
28,Antigua and Barbuda,2017,Tourist/visitor arrivals (thousands),TF,,247,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
28,Antigua and Barbuda,2018,Tourist/visitor arrivals (thousands),TF,,269,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
28,Antigua and Barbuda,1995,Tourism expenditure (millions of US dollars),,,247,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
28,Antigua and Barbuda,2005,Tourism expenditure (millions of US dollars),,,309,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
28,Antigua and Barbuda,2010,Tourism expenditure (millions of US dollars),,,298,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
28,Antigua and Barbuda,2017,Tourism expenditure (millions of US dollars),,,737,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
28,Antigua and Barbuda,2018,Tourism expenditure (millions of US dollars),,,881,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
32,Argentina,1995,Tourist/visitor arrivals (thousands),TF,,"2,289",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
32,Argentina,2005,Tourist/visitor arrivals (thousands),TF,,"3,823",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
32,Argentina,2010,Tourist/visitor arrivals (thousands),TF,,"6,800",Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
32,Argentina,2017,Tourist/visitor arrivals (thousands),TF,,"6,711",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
32,Argentina,2018,Tourist/visitor arrivals (thousands),TF,,"6,942",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
32,Argentina,1995,Tourism expenditure (millions of US dollars),,,"2,550",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
32,Argentina,2005,Tourism expenditure (millions of US dollars),,,"3,209",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
32,Argentina,2010,Tourism expenditure (millions of US dollars),,,"5,605",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
32,Argentina,2017,Tourism expenditure (millions of US dollars),,,"5,830",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
32,Argentina,2018,Tourism expenditure (millions of US dollars),,,"5,999",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
32,Argentina,2019,Tourism expenditure (millions of US dollars),,,"5,654",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
51,Armenia,1995,Tourist/visitor arrivals (thousands),TF,,12,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
51,Armenia,2005,Tourist/visitor arrivals (thousands),TF,,319,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
51,Armenia,2010,Tourist/visitor arrivals (thousands),TF,,684,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
51,Armenia,2017,Tourist/visitor arrivals (thousands),TF,,"1,495",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
51,Armenia,2018,Tourist/visitor arrivals (thousands),TF,,"1,652",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
51,Armenia,1995,Tourism expenditure (millions of US dollars),,,14,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
51,Armenia,2005,Tourism expenditure (millions of US dollars),,,243,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
51,Armenia,2010,Tourism expenditure (millions of US dollars),,,694,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
51,Armenia,2017,Tourism expenditure (millions of US dollars),,,"1,224",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
51,Armenia,2018,Tourism expenditure (millions of US dollars),,,"1,358",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
51,Armenia,2019,Tourism expenditure (millions of US dollars),,,"1,553",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
533,Aruba,1995,Tourist/visitor arrivals (thousands),TF,,619,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
533,Aruba,2005,Tourist/visitor arrivals (thousands),TF,,733,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
533,Aruba,2010,Tourist/visitor arrivals (thousands),TF,,824,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
533,Aruba,2017,Tourist/visitor arrivals (thousands),TF,,"1,071",Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
533,Aruba,2018,Tourist/visitor arrivals (thousands),TF,,"1,082",Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
533,Aruba,2019,Tourist/visitor arrivals (thousands),TF,,"1,119",Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
533,Aruba,1995,Tourism expenditure (millions of US dollars),,,554,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
533,Aruba,2005,Tourism expenditure (millions of US dollars),,,"1,097",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
533,Aruba,2010,Tourism expenditure (millions of US dollars),,,"1,254",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
533,Aruba,2017,Tourism expenditure (millions of US dollars),,,"1,855",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
533,Aruba,2018,Tourism expenditure (millions of US dollars),,,"2,029",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
533,Aruba,2019,Tourism expenditure (millions of US dollars),,,"2,091",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
36,Australia,1995,Tourist/visitor arrivals (thousands),VF,,"3,726",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
36,Australia,2005,Tourist/visitor arrivals (thousands),VF,,"5,499",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
36,Australia,2010,Tourist/visitor arrivals (thousands),VF,,"5,790",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
36,Australia,2017,Tourist/visitor arrivals (thousands),VF,,"8,815",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
36,Australia,2018,Tourist/visitor arrivals (thousands),VF,,"9,246",Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
36,Australia,1995,Tourism expenditure (millions of US dollars),,,"10,370",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
36,Australia,2005,Tourism expenditure (millions of US dollars),,,"19,719",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
36,Australia,2010,Tourism expenditure (millions of US dollars),,,"31,064",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
36,Australia,2017,Tourism expenditure (millions of US dollars),,,"43,975",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
36,Australia,2018,Tourism expenditure (millions of US dollars),,,"47,327",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
36,Australia,2019,Tourism expenditure (millions of US dollars),,,"47,953",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
40,Austria,1995,Tourist/visitor arrivals (thousands),TCE,,"17,173",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
40,Austria,2005,Tourist/visitor arrivals (thousands),TCE,,"19,952",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
40,Austria,2010,Tourist/visitor arrivals (thousands),TCE,,"22,004",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
40,Austria,2017,Tourist/visitor arrivals (thousands),TCE,,"29,460",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
40,Austria,2018,Tourist/visitor arrivals (thousands),TCE,,"30,816",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
40,Austria,2019,Tourist/visitor arrivals (thousands),TCE,,"31,884",Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
40,Austria,1995,Tourism expenditure (millions of US dollars),,,"13,435",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
40,Austria,2005,Tourism expenditure (millions of US dollars),,,"16,243",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
40,Austria,2010,Tourism expenditure (millions of US dollars),,,"18,751",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
40,Austria,2017,Tourism expenditure (millions of US dollars),,,"20,333",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
40,Austria,2018,Tourism expenditure (millions of US dollars),,,"23,233",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
40,Austria,2019,Tourism expenditure (millions of US dollars),,,"22,983",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
31,Azerbaijan,2005,Tourist/visitor arrivals (thousands),TF,,693,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
31,Azerbaijan,2010,Tourist/visitor arrivals (thousands),TF,,"1,280",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
31,Azerbaijan,2017,Tourist/visitor arrivals (thousands),TF,,"2,454",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
31,Azerbaijan,2018,Tourist/visitor arrivals (thousands),TF,,"2,633",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
31,Azerbaijan,1995,Tourism expenditure (millions of US dollars),,,87,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
31,Azerbaijan,2005,Tourism expenditure (millions of US dollars),,,100,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
31,Azerbaijan,2010,Tourism expenditure (millions of US dollars),,,792,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
31,Azerbaijan,2017,Tourism expenditure (millions of US dollars),,,"3,214",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
31,Azerbaijan,2018,Tourism expenditure (millions of US dollars),,,"2,830",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
31,Azerbaijan,2019,Tourism expenditure (millions of US dollars),,,"2,004",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
44,Bahamas,1995,Tourist/visitor arrivals (thousands),TF,,"1,598",Arrivals at hotels only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
44,Bahamas,2005,Tourist/visitor arrivals (thousands),TF,,"1,608",Arrivals at hotels only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
44,Bahamas,2010,Tourist/visitor arrivals (thousands),TF,,"1,370",Arrivals at hotels only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
44,Bahamas,2017,Tourist/visitor arrivals (thousands),TF,,"1,452",Arrivals at hotels only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
44,Bahamas,2018,Tourist/visitor arrivals (thousands),TF,,"1,624",Arrivals at hotels only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
44,Bahamas,2019,Tourist/visitor arrivals (thousands),TF,,"1,802",Arrivals at hotels only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
44,Bahamas,1995,Tourism expenditure (millions of US dollars),,,"1,356",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
44,Bahamas,2005,Tourism expenditure (millions of US dollars),,,"2,081",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
44,Bahamas,2010,Tourism expenditure (millions of US dollars),,,"2,159",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
44,Bahamas,2017,Tourism expenditure (millions of US dollars),,,"3,017",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
44,Bahamas,2018,Tourism expenditure (millions of US dollars),,,"3,383",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
44,Bahamas,2019,Tourism expenditure (millions of US dollars),,,"3,606",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
48,Bahrain,1995,Tourist/visitor arrivals (thousands),VF,,"2,311",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
48,Bahrain,2005,Tourist/visitor arrivals (thousands),VF,,"6,313",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
48,Bahrain,2010,Tourist/visitor arrivals (thousands),VF,,"11,952",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
48,Bahrain,2017,Tourist/visitor arrivals (thousands),VF,,"11,374",Break in the time series.;Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
48,Bahrain,2018,Tourist/visitor arrivals (thousands),VF,,"12,045",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
48,Bahrain,2019,Tourist/visitor arrivals (thousands),VF,,"11,061",Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
48,Bahrain,1995,Tourism expenditure (millions of US dollars),,,593,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
48,Bahrain,2005,Tourism expenditure (millions of US dollars),,,"1,603",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
48,Bahrain,2010,Tourism expenditure (millions of US dollars),,,"2,163",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
48,Bahrain,2017,Tourism expenditure (millions of US dollars),,,"3,836",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
48,Bahrain,2018,Tourism expenditure (millions of US dollars),,,"4,339",Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
50,Bangladesh,1995,Tourist/visitor arrivals (thousands),TF,,156,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
50,Bangladesh,2005,Tourist/visitor arrivals (thousands),TF,,208,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
50,Bangladesh,2010,Tourist/visitor arrivals (thousands),TF,,303,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
50,Bangladesh,2017,Tourist/visitor arrivals (thousands),TF,,"1,026",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
50,Bangladesh,2005,Tourism expenditure (millions of US dollars),,,82,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
50,Bangladesh,2010,Tourism expenditure (millions of US dollars),,,103,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021."
